Date,Patient
2005-00,1
2005-01,8
2005-02,6
2005-03,11
2005-04,9
2005-05,9
2005-06,11
2005-07,4
2005-08,6
2005-09,6
2005-10,6
2005-11,1
2005-12,6
2005-13,14
2005-14,13
2005-15,23
2005-16,19
2005-17,20
2005-18,6
2005-19,15
2005-20,27
2005-21,12
2005-22,14
2005-23,11
2005-24,11
2005-25,11
2005-26,16
2005-27,12
2005-28,14
2005-29,24
2005-30,21
2005-31,11
2005-32,15
2005-33,7
2005-34,10
2005-35,22
2005-36,19
2005-37,19
2005-38,11
2005-39,9
2005-40,14
2005-41,17
2005-42,18
2005-43,9
2005-44,10
2005-45,6
2005-46,16
2005-47,17
2005-48,16
2005-49,27
2005-50,13
2005-51,8
2005-52,8
2006-01,10
2006-02,5
2006-03,10
2006-04,9
2006-05,13
2006-06,7
2006-07,12
2006-08,14
2006-09,11
2006-10,13
2006-11,12
2006-12,17
2006-13,14
2006-14,12
2006-15,14
2006-16,9
2006-17,9
2006-18,12
2006-19,7
2006-20,11
2006-21,11
2006-22,10
2006-23,11
2006-24,14
2006-25,10
2006-26,3
2006-27,2
2006-28,6
2006-29,12
2006-30,11
2006-31,8
2006-32,6
2006-33,10
2006-34,6
2006-35,9
2006-36,13
2006-37,17
2006-38,8
2006-39,11
2006-40,16
2006-41,8
2006-42,9
2006-43,15
2006-44,6
2006-45,8
2006-46,13
2006-47,15
2006-48,7
2006-49,8
2006-50,11
2006-51,7
2006-52,14
2006-53,1
2007-00,12
2007-01,8
2007-02,11
2007-03,8
2007-04,6
2007-05,6
2007-06,16
2007-07,20
2007-08,14
2007-09,15
2007-10,22
2007-11,12
2007-12,5
2007-13,6
2007-14,7
2007-15,10
2007-16,10
2007-17,4
2007-18,3
2007-19,11
2007-20,11
2007-21,7
2007-22,15
2007-23,7
2007-24,6
2007-25,13
2007-26,15
2007-27,16
2007-28,5
2007-29,7
2007-30,6
2007-31,11
2007-32,8
2007-33,6
2007-34,16
2007-35,9
2007-36,6
2007-37,13
2007-38,15
2007-39,16
2007-40,21
2007-41,11
2007-42,10
2007-43,4
2007-44,8
2007-45,8
2007-46,12
2007-47,10
2007-48,12
2007-49,10
2007-50,12
2007-51,7
2007-52,1
2008-00,5
2008-01,9
2008-02,10
2008-03,8
2008-04,3
2008-05,1
2008-06,6
2008-07,10
2008-08,10
2008-09,15
2008-10,13
2008-11,22
2008-12,11
2008-13,11
2008-14,13
2008-15,14
2008-16,17
2008-17,13
2008-18,2
2008-19,8
2008-20,14
2008-21,9
2008-22,8
2008-23,22
2008-24,10
2008-25,11
2008-26,8
2008-27,3
2008-28,5
2008-29,23
2008-30,21
2008-31,17
2008-32,10
2008-33,4
2008-34,8
2008-35,16
2008-36,13
2008-37,8
2008-38,6
2008-39,5
2008-40,16
2008-41,14
2008-42,11
2008-43,5
2008-44,5
2008-45,5
2008-46,5
2008-47,8
2008-48,3
2008-49,11
2008-50,3
2008-51,9
2008-52,8
2009-00,6
2009-01,15
2009-02,18
2009-03,16
2009-04,19
2009-05,4
2009-06,8
2009-07,5
2009-08,8
2009-09,7
2009-10,8
2009-11,9
2009-12,7
2009-13,9
2009-14,6
2009-15,14
2009-16,10
2009-17,11
2009-18,13
2009-19,10
2009-20,17
2009-21,14
2009-22,15
2009-23,10
2009-24,17
2009-25,15
2009-26,10
2009-27,7
2009-28,11
2009-29,13
2009-30,4
2009-31,5
2009-32,7
2009-33,7
2009-34,15
2009-35,8
2009-36,3
2009-37,7
2009-38,5
2009-39,7
2009-40,9
2009-41,12
2009-42,5
2009-43,11
2009-44,8
2009-45,6
2009-46,8
2009-47,9
2009-48,4
2009-49,9
2009-50,7
2009-51,7
2009-52,9
2010-00,2
2010-01,13
2010-02,11
2010-03,5
2010-04,9
2010-05,13
2010-06,14
2010-07,7
2010-08,13
2010-09,15
2010-10,14
2010-11,6
2010-12,14
2010-13,3
2010-14,15
2010-15,12
2010-16,10
2010-17,4
2010-18,8
2010-19,14
2010-20,5
2010-21,12
2010-22,7
2010-23,7
2010-24,6
2010-25,11
2010-26,14
2010-27,16
2010-28,9
2010-29,7
2010-30,7
2010-31,11
2010-32,16
2010-33,17
2010-34,9
2010-35,8
2010-36,14
2010-37,18
2010-38,10
2010-39,13
2010-40,12
2010-41,5
2010-42,3
2010-43,14
2010-44,5
2010-45,7
2010-46,9
2010-47,9
2010-48,15
2010-49,7
2010-50,10
2010-51,10
2010-52,15
2011-01,6
2011-02,4
2011-03,14
2011-04,13
2011-05,13
2011-06,5
2011-07,5
2011-08,9
2011-09,12
2011-10,11
2011-11,14
2011-12,12
2011-13,9
2011-14,9
2011-15,7
2011-16,12
2011-17,16
2011-18,2
2011-19,6
2011-20,6
2011-21,6
2011-22,7
2011-23,8
2011-24,11
2011-25,10
2011-26,8
2011-27,6
2011-28,9
2011-29,12
2011-30,10
2011-31,9
2011-32,21
2011-33,17
2011-34,9
2011-35,4
2011-36,20
2011-37,17
2011-38,8
2011-39,4
2011-40,2
2011-41,7
2011-42,15
2011-43,15
2011-44,26
2011-45,9
2011-46,15
2011-47,9
2011-48,11
2011-49,9
2011-50,11
2011-51,19
2011-52,13
2012-01,6
2012-02,16
2012-03,13
2012-04,4
2012-05,11
2012-06,7
2012-07,11
2012-08,15
2012-09,6
2012-10,7
2012-11,7
2012-12,12
2012-13,5
2012-14,12
2012-15,14
2012-16,13
2012-17,9
2012-18,9
2012-19,15
2012-20,12
2012-21,6
2012-22,2
2012-23,8
2012-24,9
2012-25,7
2012-26,12
2012-27,3
2012-28,15
2012-29,10
2012-30,8
2012-31,9
2012-32,4
2012-33,7
2012-34,10
2012-35,9
2012-36,2
2012-37,2
2012-38,8
2012-39,18
2012-40,23
2012-41,5
2012-42,8
2012-43,9
2012-44,10
2012-45,13
2012-46,12
2012-47,16
2012-48,9
2012-49,7
2012-50,7
2012-51,6
2012-52,6
2012-53,4
2013-00,4
2013-01,12
2013-02,16
2013-03,11
2013-04,20
2013-05,5
2013-06,11
2013-07,4
2013-08,5
2013-09,5
2013-10,4
2013-11,17
2013-12,13
2013-13,9
2013-14,13
2013-15,7
2013-16,9
2013-17,11
2013-18,16
2013-19,13
2013-20,9
2013-21,7
2013-22,11
2013-23,20
2013-24,19
2013-25,10
2013-26,13
2013-27,4
2013-28,3
2013-29,1
2013-30,7
2013-31,12
